                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
120                 mu                                               [78]                                               []             0.324324       13.081081            0.894737      24.393414               0.000000          0.040833
121                 mu                                           [11, 13]                                               []             1.324324       13.081081            1.942670      26.960880               0.000000          1.040016
122                 mu                                               [15]                                               []             0.702703       13.081081            1.000000      28.286555               0.000000          0.539231
123                 mu                                               [15]                                               []             0.702703       13.081081            0.800000      31.635786               0.000000          0.371809
124                 mu                                       [13, 78, 79]                                               []             1.270270       13.081081            2.950000      30.236494               0.250000          0.287749
125                 mu                                           [28, 30]                                               []             0.837838       13.081081            1.625000      26.145205               0.000000          0.037050
126                 mu                                               [15]                                               []             0.702703       13.081081            1.000000      28.698106               0.000000          0.036376
127                 mu                                                [5]                                               []             0.675676       13.081081            0.857143      30.804318               0.000000          0.035726
128                 mu                                            [9, 10]                                               []             1.081081       13.081081            2.000000      30.019184               0.000000          0.035099
129                 mu                            [5, 11, 23, 74, 75, 18]                                               []             3.027027       13.081081            5.116750      27.933904               0.000000          0.034493
130                 mu                                                [5]                                               []             0.675676       13.297297            0.833333      26.036030               0.000000          0.033908
131                 mu                                        [5, 74, 75]                                               []             1.297297       13.297297            2.500000      29.360739               0.000000          0.033343
132                 mu                                 [5, 9, 10, 11, 18]                                               []             2.945946       13.297297            4.382855      25.528156               0.000000          0.032796
133                 mu                                                [5]                                               []             0.675676       13.297297            0.640000      26.189033               0.000000          0.032266
134                 mu                                                [5]                                               []             0.675676       13.297297            0.352941      27.527814               0.000000          0.031754
135                 mu                                [5, 23, 22, 74, 24]                                               []             2.837838       13.297297            4.000000      26.822684               0.000000          0.031258
136                 mu                                        [9, 11, 18]                                               []             1.783784       13.351351            2.853571      25.647534               0.000000          0.030777
137                 mu                                                [5]                                               []             0.675676       13.351351            0.458333      26.184361               0.000000          0.030310
138                 mu                                   [11, 62, 25, 15]                                               []             1.621622       13.351351            1.960000      26.655285               0.015152          0.029857
139                 mu                                 [5, 9, 10, 28, 24]                                               []             2.756757       13.513514            4.052045      25.548147               0.000000          0.014493
140                 mu                                           [25, 15]                                               []             0.945946       13.621622            1.470588      26.141725               0.000000          0.014286
141                 mu                                           [25, 15]                                               []             0.945946       13.621622            1.333333      26.590593               0.000000          0.014085
142                 mu                           [11, 62, 25, 78, 79, 15]                                               []             2.432432       13.621622            3.851860      25.743128               0.000000          0.013889
143                 mu                                        [5, 74, 75]                                               []             1.324324       13.837838            1.871429      24.169804               0.000000          0.013699
144                 mu                                [9, 10, 11, 62, 15]                                               []             2.756757       13.837838            4.357836      25.194520               0.000000          0.013514
145               nico                                               [15]                                               []             0.729730       13.945946            0.000000       0.000000               0.256944          2.965278
146                 mu                                       [25, 23, 22]                                               []             1.605263       13.605263            2.625195      26.133365               0.000000          2.013158
147                 mu                            [5, 11, 33, 25, 31, 15]                                             [95]             2.710526       13.605263            3.755384      26.682148               1.000000          1.012987
