Repositories:
 - nlohmann/json
 - stedolan/jq
[DataQuery] - load existing repo: nlohmann/json..
[DataQuery] - ready!
[DataQuery] - Repo: nlohmann/json, commits: 578, train slice: 462
[DataQuery] - load existing repo: stedolan/jq..
[DataQuery] - ready!
[DataQuery] - Repo: stedolan/jq, commits: 992, train slice: 793
current values: [0.2 0.6 0.2 1.  1. ]
for repo: nlohmann/json
+---------------+-----------------------+-------+-------+--------+---------------+
|      user     |         score         | top 3 | top 5 | top 10 | total_objects |
|        nico       |  0.010238675073375551 |   0   |   0   |   0    |       1       |
|        nico       |  0.010549215701388446 |   0   |   0   |   0    |       1       |
|        nico       |  0.010319950314831973 |   0   |   0   |   0    |       0       |
|        nico       |  0.010147642373376137 |   0   |   0   |   0    |       0       |
|        nico       |  0.010024707593053243 |   0   |   0   |   0    |       1       |
|        nico       |  0.010476547605889962 |   0   |   0   |   0    |       2       |
|        jasc       |  0.010442192873799841 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010408412571425102 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010374853399431432 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010341513186465976 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010308389789534637 |   0   |   0   |   0    |       0       |
|        nico       |  0.010081804896504554 |   0   |   0   |   0    |       0       |
|        nico       |  0.009923566495775964 |   0   |   0   |   0    |       0       |
|        nico       |  0.009770222441570286 |   0   |   0   |   0    |       0       |
|        nico       |  0.009621549078784633 |   0   |   0   |   0    |       0       |
|        nico       |  0.00947733617553298  |   0   |   0   |   0    |       0       |
|         mu        |  0.009262388696531976 |   0   |   0   |   0    |       0       |
|         mu        |  0.00913358912230044  |   0   |   0   |   0    |       1       |
|        nico       |  0.009004606636336244 |   0   |   0   |   0    |       0       |
|        nico       |  0.008879219408052542 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008768427960516642 |   0   |   0   |   0    |       0       |
|        nico       |  0.008649494233396263 |   0   |   0   |   0    |       0       |
|     raysatiro     |  0.008626529571107964 |   0   |   0   |   0    |       0       |
|      clement      |  0.008761456500155619 |   1   |   1   |   1    |       1       |
|       cortex      |  0.008738763319333178 |   0   |   0   |   0    |       0       |
|   xiong.chiamiov  |  0.008716411298260117 |   0   |   0   |   0    |       0       |
|  janne.cederberg  |  0.00869439140838796  |   0   |   0   |   0    |       0       |
|      richard      |  0.008672694957854296 |   0   |   0   |   0    |       0       |
|        jasc       |  0.008651313575411943 |   0   |   0   |   0    |       0       |
|       jwilk       |  0.008654273260770428 |   0   |   0   |   0    |       1       |
|       wmark       |  0.008705798961142253 |   0   |   0   |   1    |       1       |
|       wmark       |  0.00885300903054586  |   0   |   0   |   1    |       1       |
|      wlangfor     |  0.009427587523318962 |   0   |   0   |   0    |       3       |
|       attila      |  0.009549827739525287 |   1   |   1   |   1    |       1       |
|        nico       |  0.010006250968516884 |   1   |   1   |   1    |       1       |
|        nico       |  0.009857129078301738 |   0   |   0   |   0    |       0       |
|        nico       |  0.009746329288374472 |   0   |   0   |   0    |       0       |
|        nico       |  0.009638001309487219 |   0   |   0   |   0    |       0       |
|        nico       |  0.009532062967828598 |   0   |   0   |   0    |       0       |
|        nico       |  0.009428435721884211 |   0   |   0   |   0    |       0       |
|        nico       |  0.009327044460670139 |   0   |   0   |   0    |       0       |
|        nico       |  0.009341851625540448 |   0   |   0   |   0    |       1       |
|        nico       |  0.009537894230379105 |   0   |   0   |   0    |       2       |
|       github      |  0.009517808837368854 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.009573859328708387 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.009552988265004739 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.010494110159075917 |   2   |   2   |   2    |       3       |
|        nico       |  0.010355186195335505 |   0   |   0   |   0    |       0       |
|   erik.brinkman   |  0.010457883682675303 |   1   |   1   |   1    |       1       |
|        nico       |  0.010802589732922523 |   1   |   1   |   1    |       1       |
|        nico       |  0.010664621082830025 |   0   |   0   |   0    |       0       |
|        nico       |  0.010561673728144332 |   0   |   0   |   0    |       0       |
|        nico       |  0.010460795798128284 |   0   |   0   |   0    |       0       |
|        nico       |  0.010361906333228855 |   0   |   0   |   0    |       0       |
|        nico       |  0.010428738285825747 |   0   |   0   |   0    |       1       |
|        nico       |  0.010295860492280078 |   0   |   0   |   0    |       0       |
|        nico       |  0.010202365966321689 |   0   |   0   |   0    |       0       |
|        nico       |  0.010110556367764327 |   0   |   0   |   0    |       0       |
|      mattn.jp     |  0.010134528844880223 |   0   |   0   |   0    |       1       |
|      mattn.jp     |  0.010473772858730848 |   1   |   1   |   1    |       2       |
|        nico       |  0.01063617099176213  |   0   |   0   |   0    |       1       |
|        nico       |  0.010530672774283437 |   0   |   0   |   0    |       1       |
|        nico       |  0.010448255787223148 |   0   |   0   |   0    |       0       |
|        nico       |  0.01035887579116222  |   0   |   0   |   0    |       0       |
|        nico       |  0.010608095411016911 |   0   |   0   |   0    |       2       |
|        nico       |  0.010725183910809384 |   0   |   0   |   0    |       1       |
|        nico       |  0.010879807530312695 |   0   |   0   |   0    |       1       |
|        nico       |  0.010757407962007108 |   0   |   0   |   0    |       0       |
|        nico       |  0.010669441644964939 |   0   |   0   |   0    |       0       |
|        nico       |  0.010972354685231714 |   1   |   1   |   1    |       1       |
|        nico       |  0.011227782711502408 |   0   |   0   |   1    |       1       |
|        nico       |  0.012060865538894358 |   1   |   1   |   1    |       3       |
|        nico       |  0.011919914205522433 |   0   |   0   |   0    |       0       |
|        nico       |  0.012094077390098644 |   0   |   0   |   0    |       1       |
|        nico       |  0.012060579923028215 |   0   |   0   |   0    |       1       |
|        nico       |  0.01275822562306346  |   0   |   0   |   0    |       4       |
|        nico       |  0.013118605650160728 |   1   |   1   |   1    |       2       |
|        nico       |  0.012963034978835915 |   0   |   0   |   0    |       0       |
|        nico       |  0.012934551035072215 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.012918803507919555 |   0   |   0   |   0    |       1       |
|        nico       |  0.013331384757641172 |   0   |   0   |   0    |       2       |
|        nico       |  0.013464194794998644 |   0   |   0   |   0    |       1       |
|        nico       |  0.01351386266485645  |   0   |   0   |   0    |       1       |
|        nico       |  0.013364104062103631 |   0   |   0   |   0    |       0       |
|        nico       |  0.013228693521634723 |   0   |   0   |   0    |       0       |
|        nico       |  0.013138252124766946 |   0   |   0   |   0    |       0       |
|        nico       |  0.013049040307656102 |   0   |   0   |   0    |       0       |
|        nico       |  0.013290537651022699 |   1   |   1   |   1    |       1       |
|      wlangfor     |  0.014629657909164982 |   2   |   2   |   2    |       5       |
|      wlangfor     |  0.014798552302275525 |   1   |   1   |   1    |       1       |
|      wlangfor     |  0.015508851885910472 |   0   |   0   |   1    |       3       |
|        nico       |  0.015375059814553465 |   0   |   0   |   0    |       0       |
|        nico       |  0.01641747894271663  |   0   |   0   |   2    |       4       |
|        nico       |  0.016580006301153503 |   0   |   0   |   1    |       1       |
|        nico       |  0.016546724240321452 |   0   |   0   |   0    |       2       |
|        nico       |  0.016542786361547632 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016403443716889916 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.016292584520984216 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.016222397328746547 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.016152826404804314 |   0   |   0   |   0    |       0       |
|     pkoppstein    |  0.016047987014851762 |   0   |   0   |   0    |       0       |
|        nico       |  0.016739959557472654 |   1   |   1   |   2    |       7       |
|        nico       |   0.0168358627758504  |   0   |   0   |   0    |       1       |
|        nico       |  0.017306933842393037 |   0   |   0   |   0    |       3       |
|       DLange      |  0.017286336811324906 |   0   |   0   |   0    |       0       |
|        nico       |  0.017468196854807865 |   0   |   0   |   0    |       2       |
|        nico       |  0.017330745833697953 |   0   |   0   |   0    |       0       |
|        nico       |  0.017334458906724814 |   0   |   0   |   0    |       1       |
|        nico       |  0.017282658650826004 |   0   |   0   |   0    |       1       |
|        nico       |  0.017178571682461816 |   0   |   0   |   0    |       1       |
|        nico       |  0.017070640583420612 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016992147388380428 |   0   |   0   |   0    |       0       |
|    trantorvega    |  0.01697321919672235  |   0   |   0   |   0    |       0       |
|        nico       |  0.016864195878706554 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016860645016873746 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016754605390684085 |   0   |   0   |   0    |       0       |
|   andrew.cspeed   |  0.016736501465144736 |   0   |   0   |   0    |       0       |
|        eric       |  0.016718594642862065 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.016694617097728362 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.01679341673797149  |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016834250162458087 |   0   |   0   |   0    |       1       |
|        nico       |  0.016924672662972404 |   0   |   0   |   0    |       1       |
|        nico       |  0.017040139934281974 |   1   |   1   |   1    |       1       |
|       david       |  0.017067240551328394 |   1   |   1   |   1    |       1       |
|        nico       |  0.01692026384557394  |   0   |   0   |   0    |       0       |
|     larryaasen    |  0.016903232075031457 |   0   |   0   |   0    |       0       |
|   paul+gitkraken  |  0.016886378881465346 |   0   |   0   |   0    |       0       |
|       jakub       |  0.01686970068277939  |   0   |   0   |   0    |       0       |
|       jakub       |  0.016853194001410114 |   0   |   0   |   0    |       0       |
|       jakub       |  0.016836721179618496 |   0   |   0   |   0    |       0       |
|       david       |  0.016781543677759757 |   0   |   0   |   0    |       0       |
|    riley.avron    |   0.0167652136965914  |   0   |   0   |   0    |       0       |
|       rain1       |  0.016791934179414585 |   1   |   1   |   1    |       1       |
|        nico       |  0.016657380511096675 |   0   |   0   |   0    |       0       |
|        nico       |  0.016532909109398388 |   0   |   0   |   0    |       0       |
| roland.dowdeswell |  0.016539939212833678 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.016462653076112947 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.017044450706836196 |   1   |   1   |   2    |       3       |
|      wlangfor     |  0.017141294046886774 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.017255957749667095 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.017168158781456833 |   0   |   0   |   0    |       0       |
|      aozdemir     |  0.01715252219792663  |   0   |   0   |   0    |       0       |
+-------------------+-----------------------+-------+-------+--------+---------------+
score for repo is: 0.01715252219792663
--------------score is: 0.09183489523235006-------------------

current values: [0.20000001 0.6        0.2        1.         1.        ]
for repo: nlohmann/json
+---------------+-----------------------+-------+-------+--------+---------------+
|      user     |         score         | top 3 | top 5 | top 10 | total_objects |
+---------------+-----------------------+-------+-------+--------+---------------+
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0008328348647647322 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.001429441646840701 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.001869543611024398 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0016826745633230758 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0020080167400718775 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.001840773004107037 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0016992208600587156 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0015778605486720916 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0014726572959847626 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.001380583940653843 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.002244386824796774 |   1   |   1   |   1    |       3       |
| niels.lohmann |  0.003520586537091455 |   1   |   1   |   1    |       3       |
| niels.lohmann | 0.0033479902092327946 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.003185399054635844 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0038519332531425036 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.004443189212593491 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.004973016267362377 |   0   |   0   |   0    |       2       |
| niels.lohmann | 0.0051678442300381764 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.005247679846958612 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.005051070295525624 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.00510968770022587  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.004926338547815856 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.004752912784224072 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005159917442756775 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.00553506091609241  |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.005574727884283523 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0056003883523490245 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.005613240602307089 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0054499293115232925 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005295822130804198 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005150159991941985 |   0   |   0   |   0    |       0       |
