               user                                           modified                      added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
130         fraggle                             [3, 61, 67, 22, 33, 9]                         []             3.326531       25.408163            5.694659      38.280077               0.000000          0.000000
131         fraggle                                               [30]                         []             0.775510       25.408163            1.000000      37.574643               0.000000          0.000000
132         fraggle        [4, 59, 62, 68, 65, 43, 23, 18, 44, 10, 51]                         []             4.979592       25.408163            6.702282      39.872764               0.000000          0.000000
133         fraggle  [2, 45, 60, 66, 63, 30, 21, 5, 34, 8, 48, 4, 5...                   [71, 72]            14.632653       26.510204           20.818655      40.131624               0.000000          0.000000
134         fraggle                 [3, 46, 61, 67, 31, 22, 33, 9, 49]                         []             4.588235       30.019608            6.539582      41.148851               0.000000          0.000000
135         fraggle  [71, 72, 4, 59, 62, 68, 65, 42, 47, 43, 23, 18...                         []             9.764706       30.019608           13.442155      42.438373               2.000000          2.000000
136         fraggle                                           [23, 10]                         []             1.568627       30.019608            1.946306      42.006833               0.000000          0.000000
137         fraggle  [41, 2, 3, 45, 46, 60, 61, 66, 67, 63, 64, 11,...                         []            30.019608       30.019608           44.987007      44.987007               0.000000          0.000000
138         fraggle                                               [66]                         []             1.000000       51.000000            0.990196      50.421680               0.000000          0.000000
139         fraggle                                                 []                   [73, 74]             0.000000       51.000000            0.000000      50.821256               0.000000          0.000000
140         fraggle                                               [45]                         []             0.962264       49.150943            0.988827      50.883646               0.000000          0.000000
141         fraggle                                               [59]                         []             0.962264       49.150943            1.000000      51.764126               0.000000          2.000000
142         fraggle                                               [59]                         []             0.962264       49.150943            0.985185      52.318519               0.000000          1.000000
143         fraggle                                               [71]                         []             0.962264       49.150943            1.000000      51.954023               0.000000          0.666667
144         fraggle                                           [65, 23]                         []             1.924528       49.150943            2.000000      51.958927               0.000000          0.500000
145         fraggle                                               [71]                         []             0.962264       49.150943            1.000000      51.971781               0.000000          0.400000
146         fraggle                                       [45, 46, 59]                         []             2.886792       49.150943            3.000000      52.300546               0.000000          0.333333
147         fraggle                                               [45]                         []             0.962264       49.150943            0.974359      51.723501               0.000000          0.285714
148         fraggle                                               [45]                         []             0.962264       49.150943            0.925926      51.925926               0.000000          0.250000
149         fraggle                                               [46]                         []             0.962264       49.150943            1.000000      51.663636               0.000000          0.222222
150         fraggle                                                 []                       [75]             0.000000       49.150943            0.000000      51.667725               0.000000          0.200000
151         fraggle                                               [59]                         []             0.944444       48.259259            0.983051      51.526400               0.000000          0.181818
152         fraggle                                           [43, 44]                         []             1.888889       48.259259            2.000000      52.287879               0.000000          1.166667
153         fraggle                                               [45]                         []             0.944444       48.259259            1.000000      51.972125               0.000000          0.653846
